"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"존재하지 않는 키워드 입력 시 결과 0개 확인","13021","test_search_no_result","tests","Sun Mar 08 18:32:46 UTC 2026","passed","Sun Mar 08 18:32:59 UTC 2026","TestSearch","test_search","",""
"상품 목록 API 호출 시 200 응답과 상품 데이터 확인","305","test_get_products","tests.api","Sun Mar 08 18:32:36 UTC 2026","passed","Sun Mar 08 18:32:36 UTC 2026","TestProductsAPI","test_api_products","",""
"","274","test_login_failure","tests.api","Sun Mar 08 18:32:36 UTC 2026","passed","Sun Mar 08 18:32:36 UTC 2026","TestLoginAPI","test_api_login","",""
"유효한 계정으로 로그인 API 호출 시 200 응답과 토큰 확인","415","test_login_sucess","tests.api","Sun Mar 08 18:32:35 UTC 2026","passed","Sun Mar 08 18:32:36 UTC 2026","TestLoginAPI","test_api_login","",""
"상품 목록 API에 잘못된 HTTP 메서드 사용 시 405 응답 확인","258","test_post_products_list_no_allowed","tests.api","Sun Mar 08 18:32:37 UTC 2026","passed","Sun Mar 08 18:32:37 UTC 2026","TestProductsAPI","test_api_products","",""
"회원 삭제 API 호출 시 계정 삭제 확인","398","test_delete_account","tests.api","Sun Mar 08 18:32:37 UTC 2026","passed","Sun Mar 08 18:32:38 UTC 2026","TestUserAPI","test_api_user","",""
"회원가입 API 호출 시 201 응답과 성공 메시지 확인","376","test_create_account","tests.api","Sun Mar 08 18:32:37 UTC 2026","passed","Sun Mar 08 18:32:37 UTC 2026","TestUserAPI","test_api_user","",""
"잘못된 비밀번호 로그인 시도 후 오류 메시지 확인","1672","test_login_failure_password","tests","Sun Mar 08 18:32:41 UTC 2026","passed","Sun Mar 08 18:32:43 UTC 2026","TestLogin","test_login","",""
"유효한 계정으로 로그인 후 URL 변경 확인","1963","test_login_success","tests","Sun Mar 08 18:32:39 UTC 2026","passed","Sun Mar 08 18:32:41 UTC 2026","TestLogin","test_login","",""
"상품 검색 API 호출 시 200 응답과 검색 결과 확인","273","test_search_products","tests.api","Sun Mar 08 18:32:36 UTC 2026","passed","Sun Mar 08 18:32:37 UTC 2026","TestProductsAPI","test_api_products","",""
"유효한 키워드 입력 시 검색 결과 1개 이상 노출 확인","2145","test_search_valid_keyword","tests","Sun Mar 08 18:32:44 UTC 2026","passed","Sun Mar 08 18:32:46 UTC 2026","TestSearch","test_search","",""
