"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"유효한 계정으로 로그인 API 호출 시 200 응답과 토큰 확인","316","test_login_sucess","tests.api","Mon Mar 09 09:55:50 UTC 2026","passed","Mon Mar 09 09:55:51 UTC 2026","TestLoginAPI","test_api_login","",""
"유효한 계정으로 로그인 후 URL 변경 확인","3213","test_login_success","tests","Mon Mar 09 09:56:01 UTC 2026","passed","Mon Mar 09 09:56:04 UTC 2026","TestLogin","test_login","",""
"유효한 키워드 입력 시 검색 결과 1개 이상 노출 확인","1526","test_search_valid_keyword","tests","Mon Mar 09 09:56:07 UTC 2026","passed","Mon Mar 09 09:56:09 UTC 2026","TestSearch","test_search","",""
"상품 목록 API에 잘못된 HTTP 메서드 사용 시 405 응답 확인","105","test_post_products_list_no_allowed","tests.api","Mon Mar 09 09:55:52 UTC 2026","passed","Mon Mar 09 09:55:52 UTC 2026","TestProductsAPI","test_api_products","",""
"","271","test_login_failure","tests.api","Mon Mar 09 09:55:51 UTC 2026","passed","Mon Mar 09 09:55:51 UTC 2026","TestLoginAPI","test_api_login","",""
"존재하지 않는 키워드 입력 시 결과 0개 확인","11406","test_search_no_result","tests","Mon Mar 09 09:56:09 UTC 2026","passed","Mon Mar 09 09:56:20 UTC 2026","TestSearch","test_search","",""
"상품 목록 API 호출 시 200 응답과 상품 데이터 확인","146","test_get_products","tests.api","Mon Mar 09 09:55:51 UTC 2026","passed","Mon Mar 09 09:55:51 UTC 2026","TestProductsAPI","test_api_products","",""
"회원정보 수정 API 호출 시 정보 수정 확인","574","test_update_account","tests.api","Mon Mar 09 09:55:52 UTC 2026","passed","Mon Mar 09 09:55:53 UTC 2026","TestUserAPI","test_api_user","",""
"잘못된 비밀번호 로그인 시도 후 오류 메시지 확인","1790","test_login_failure_password","tests","Mon Mar 09 09:56:05 UTC 2026","passed","Mon Mar 09 09:56:07 UTC 2026","TestLogin","test_login","",""
"상품 검색 파라미터 없이 호출 시 400 응답 확인","267","test_search_products_no_parameter","tests.api","Mon Mar 09 09:55:52 UTC 2026","passed","Mon Mar 09 09:55:52 UTC 2026","TestProductsAPI","test_api_products","",""
"회원 삭제 API 호출 시 계정 삭제 확인","225","test_delete_account","tests.api","Mon Mar 09 09:55:52 UTC 2026","passed","Mon Mar 09 09:55:52 UTC 2026","TestUserAPI","test_api_user","",""
"상품 검색 API 호출 시 200 응답과 검색 결과 확인","293","test_search_products","tests.api","Mon Mar 09 09:55:51 UTC 2026","passed","Mon Mar 09 09:55:52 UTC 2026","TestProductsAPI","test_api_products","",""
"회원가입 API 호출 시 201 응답과 성공 메시지 확인","383","test_create_account","tests.api","Mon Mar 09 09:55:52 UTC 2026","passed","Mon Mar 09 09:55:52 UTC 2026","TestUserAPI","test_api_user","",""
