"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"회원가입 API 호출 시 201 응답과 성공 메시지 확인","408","test_create_account","tests.api","Sun Mar 08 07:01:14 UTC 2026","passed","Sun Mar 08 07:01:15 UTC 2026","TestUserAPI","test_api_user","",""
"유효한 계정으로 로그인 후 URL 변경 확인","2212","test_login_success","tests","Sun Mar 08 07:01:16 UTC 2026","passed","Sun Mar 08 07:01:19 UTC 2026","TestLogin","test_login","",""
"유효한 키워드 입력 시 검색 결과 1개 이상 노출 확인","2649","test_search_valid_keyword","tests","Sun Mar 08 07:01:21 UTC 2026","passed","Sun Mar 08 07:01:24 UTC 2026","TestSearch","test_search","",""
"","249","test_login_failure","tests.api","Sun Mar 08 07:01:14 UTC 2026","passed","Sun Mar 08 07:01:14 UTC 2026","TestLoginAPI","test_api_login","",""
"잘못된 비밀번호 로그인 시도 후 오류 메시지 확인","1678","test_login_failure_password","tests","Sun Mar 08 07:01:19 UTC 2026","passed","Sun Mar 08 07:01:21 UTC 2026","TestLogin","test_login","",""
"상품 검색 API 호출 시 200 응답과 검색 결과 확인","244","test_search_products","tests.api","Sun Mar 08 07:01:14 UTC 2026","passed","Sun Mar 08 07:01:14 UTC 2026","TestProductsAPI","test_api_products","",""
"상품 목록 API 호출 시 200 응답과 상품 데이터 확인","170","test_get_products","tests.api","Sun Mar 08 07:01:14 UTC 2026","passed","Sun Mar 08 07:01:14 UTC 2026","TestProductsAPI","test_api_products","",""
"유효한 계정으로 로그인 API 호출 시 200 응답과 토큰 확인","311","test_login_sucess","tests.api","Sun Mar 08 07:01:13 UTC 2026","passed","Sun Mar 08 07:01:14 UTC 2026","TestLoginAPI","test_api_login","",""
"회원 삭제 API 호출 시 계정 삭제 확인","282","test_delete_account","tests.api","Sun Mar 08 07:01:15 UTC 2026","failed","Sun Mar 08 07:01:15 UTC 2026","TestUserAPI","test_api_user","",""
"존재하지 않는 키워드 입력 시 결과 0개 확인","11899","test_search_no_result","tests","Sun Mar 08 07:01:25 UTC 2026","passed","Sun Mar 08 07:01:36 UTC 2026","TestSearch","test_search","",""
