"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"잘못된 계정으로 로그인 API 호출 시 404 응답과 실패 메시지 확인","277","test_login_failure","tests.api","Wed Mar 11 15:27:44 UTC 2026","passed","Wed Mar 11 15:27:44 UTC 2026","TestLoginAPI","test_api_login","",""
"존재하지 않는 키워드 입력 시 결과 0개 확인","11785","test_search_no_result","tests","Wed Mar 11 15:28:00 UTC 2026","passed","Wed Mar 11 15:28:12 UTC 2026","TestSearch","test_search","",""
"상품 검색 파라미터 없이 호출 시 400 응답 확인","118","test_search_products_no_parameter","tests.api","Wed Mar 11 15:27:45 UTC 2026","passed","Wed Mar 11 15:27:45 UTC 2026","TestProductsAPI","test_api_products","",""
"회원정보 수정 API 호출 시 정보 수정 확인","366","test_update_account","tests.api","Wed Mar 11 15:27:46 UTC 2026","passed","Wed Mar 11 15:27:46 UTC 2026","TestUserAPI","test_api_user","",""
"유효한 계정으로 로그인 API 호출 시 200 응답과 토큰 확인","343","test_login_sucess","tests.api","Wed Mar 11 15:27:43 UTC 2026","passed","Wed Mar 11 15:27:44 UTC 2026","TestLoginAPI","test_api_login","",""
"잘못된 비밀번호 로그인 시도 후 오류 메시지 확인","1358","test_login_failure_password","tests","Wed Mar 11 15:27:56 UTC 2026","passed","Wed Mar 11 15:27:58 UTC 2026","TestLogin","test_login","",""
"상품 검색 API 호출 시 200 응답과 검색 결과 확인","255","test_search_products","tests.api","Wed Mar 11 15:27:45 UTC 2026","passed","Wed Mar 11 15:27:45 UTC 2026","TestProductsAPI","test_api_products","",""
"유효한 키워드 입력 시 검색 결과 1개 이상 노출 확인","1668","test_search_valid_keyword","tests","Wed Mar 11 15:27:58 UTC 2026","passed","Wed Mar 11 15:28:00 UTC 2026","TestSearch","test_search","",""
"회원가입 API 호출 시 201 응답과 성공 메시지 확인","238","test_create_account","tests.api","Wed Mar 11 15:27:45 UTC 2026","passed","Wed Mar 11 15:27:45 UTC 2026","TestUserAPI","test_api_user","",""
"상품 목록 API 호출 시 200 응답과 상품 데이터 확인","297","test_get_products","tests.api","Wed Mar 11 15:27:44 UTC 2026","passed","Wed Mar 11 15:27:45 UTC 2026","TestProductsAPI","test_api_products","",""
"POST /verifyLogin 이메일 없이 호출 시 400 응답 확인","246","test_verify_login_missing_email","tests.api","Wed Mar 11 15:27:44 UTC 2026","passed","Wed Mar 11 15:27:44 UTC 2026","TestLoginAPI","test_api_login","",""
"존재하지 않는 키워드 입력 시 'No products found' 메시지 노출 확인","2886","test_search_no_result_message","tests","Wed Mar 11 15:28:13 UTC 2026","skipped","Wed Mar 11 15:28:15 UTC 2026","TestSearch","test_search","",""
"상품 목록 API에 잘못된 HTTP 메서드 사용 시 405 응답 확인","257","test_post_products_list_no_allowed","tests.api","Wed Mar 11 15:27:45 UTC 2026","passed","Wed Mar 11 15:27:45 UTC 2026","TestProductsAPI","test_api_products","",""
"회원 삭제 API 호출 시 계정 삭제 확인","358","test_delete_account","tests.api","Wed Mar 11 15:27:45 UTC 2026","passed","Wed Mar 11 15:27:46 UTC 2026","TestUserAPI","test_api_user","",""
"DELETE /verifyLogin 호출 시 405 응답 확인","257","test_verify_login_delete_not_allowed","tests.api","Wed Mar 11 15:27:44 UTC 2026","passed","Wed Mar 11 15:27:44 UTC 2026","TestLoginAPI","test_api_login","",""
"유효한 계정으로 로그인 후 URL 변경 확인","3366","test_login_success","tests","Wed Mar 11 15:27:53 UTC 2026","passed","Wed Mar 11 15:27:56 UTC 2026","TestLogin","test_login","",""
