"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"유효한 계정으로 로그인 API 호출 시 200 응답과 토큰 확인","463","test_login_sucess","tests.api","Mon Mar 09 17:24:19 UTC 2026","passed","Mon Mar 09 17:24:20 UTC 2026","TestLoginAPI","test_api_login","",""
"상품 목록 API에 잘못된 HTTP 메서드 사용 시 405 응답 확인","137","test_post_products_list_no_allowed","tests.api","Mon Mar 09 17:24:22 UTC 2026","passed","Mon Mar 09 17:24:22 UTC 2026","TestProductsAPI","test_api_products","",""
"잘못된 비밀번호 로그인 시도 후 오류 메시지 확인","1827","test_login_failure_password","tests","Mon Mar 09 17:24:35 UTC 2026","passed","Mon Mar 09 17:24:36 UTC 2026","TestLogin","test_login","",""
"POST /verifyLogin 이메일 없이 호출 시 400 응답 확인","388","test_verify_login_missing_email","tests.api","Mon Mar 09 17:24:20 UTC 2026","passed","Mon Mar 09 17:24:21 UTC 2026","TestLoginAPI","test_api_login","",""
"회원 삭제 API 호출 시 계정 삭제 확인","556","test_delete_account","tests.api","Mon Mar 09 17:24:23 UTC 2026","passed","Mon Mar 09 17:24:23 UTC 2026","TestUserAPI","test_api_user","",""
"회원정보 수정 API 호출 시 정보 수정 확인","480","test_update_account","tests.api","Mon Mar 09 17:24:23 UTC 2026","passed","Mon Mar 09 17:24:24 UTC 2026","TestUserAPI","test_api_user","",""
"DELETE /verifyLogin 호출 시 405 응답 확인","369","test_verify_login_delete_not_allowed","tests.api","Mon Mar 09 17:24:21 UTC 2026","passed","Mon Mar 09 17:24:21 UTC 2026","TestLoginAPI","test_api_login","",""
"존재하지 않는 키워드 입력 시 결과 0개 확인","11551","test_search_no_result","tests","Mon Mar 09 17:24:39 UTC 2026","passed","Mon Mar 09 17:24:51 UTC 2026","TestSearch","test_search","",""
"잘못된 계정으로 로그인 API 호출 시 404 응답과 실패 메시지 확인","360","test_login_failure","tests.api","Mon Mar 09 17:24:20 UTC 2026","passed","Mon Mar 09 17:24:20 UTC 2026","TestLoginAPI","test_api_login","",""
"상품 목록 API 호출 시 200 응답과 상품 데이터 확인","456","test_get_products","tests.api","Mon Mar 09 17:24:21 UTC 2026","passed","Mon Mar 09 17:24:22 UTC 2026","TestProductsAPI","test_api_products","",""
"유효한 계정으로 로그인 후 URL 변경 확인","3152","test_login_success","tests","Mon Mar 09 17:24:31 UTC 2026","passed","Mon Mar 09 17:24:34 UTC 2026","TestLogin","test_login","",""
"유효한 키워드 입력 시 검색 결과 1개 이상 노출 확인","2044","test_search_valid_keyword","tests","Mon Mar 09 17:24:37 UTC 2026","passed","Mon Mar 09 17:24:39 UTC 2026","TestSearch","test_search","",""
"상품 검색 API 호출 시 200 응답과 검색 결과 확인","169","test_search_products","tests.api","Mon Mar 09 17:24:22 UTC 2026","passed","Mon Mar 09 17:24:22 UTC 2026","TestProductsAPI","test_api_products","",""
"회원가입 API 호출 시 201 응답과 성공 메시지 확인","747","test_create_account","tests.api","Mon Mar 09 17:24:22 UTC 2026","passed","Mon Mar 09 17:24:23 UTC 2026","TestUserAPI","test_api_user","",""
"상품 검색 파라미터 없이 호출 시 400 응답 확인","150","test_search_products_no_parameter","tests.api","Mon Mar 09 17:24:22 UTC 2026","passed","Mon Mar 09 17:24:22 UTC 2026","TestProductsAPI","test_api_products","",""
